author,created,field,fieldtype,from,fromString,key,project,to,toString
juan.desimoni,2016-05-06 17:42:52.720,description,jira,,"When using ClassTypeLoader to load an Interface Type with getter methods defined the resulting *MetadataType* contains inexistent 

For example having an Interface Animal life this one:
{code:java}
public interface Animal 
{
    String getSpeciesName();
}
{code}

The resulting MetadataType will contain a field named ""speciesName"" ",MULE-9674,mule,,"When using ClassTypeLoader to load an Interface Type with getter methods defined the resulting *MetadataType* contains inexistent fields


For example having an Interface Animal life this one:
{code:java}
public interface Animal 
{
    String getSpeciesName();
}
{code}

The resulting MetadataType will contain a field named ""speciesName"" "
juan.desimoni,2016-05-06 17:43:04.642,description,jira,,"When using ClassTypeLoader to load an Interface Type with getter methods defined the resulting *MetadataType* contains inexistent fields


For example having an Interface Animal life this one:
{code:java}
public interface Animal 
{
    String getSpeciesName();
}
{code}

The resulting MetadataType will contain a field named ""speciesName"" ",MULE-9674,mule,,"When using ClassTypeLoader to load an Interface Type with getter methods defined the resulting *MetadataType* contains inexistent fields


For example having an Interface Animal like this one:
{code:java}
public interface Animal 
{
    String getSpeciesName();
}
{code}

The resulting MetadataType will contain a field named ""speciesName"" "
mariano.gonzalez,2016-05-06 19:43:08.369,assignee,jira,,,MULE-9674,mule,mariano.gonzalez,Mariano Gonzalez
mariano.gonzalez,2016-05-06 21:15:46.759,Project,jira,13609,Metadata Model,MULE-9674,mule,10000,Mule
mariano.gonzalez,2016-05-06 21:15:46.759,Key,jira,,MDM-3,MULE-9674,mule,,MULE-9674
mariano.gonzalez,2016-05-06 21:15:46.759,Workflow,jira,255570,Mule EE workflow v1.0,MULE-9674,mule,255595,Main Mule Workflow v1.0
mariano.gonzalez,2016-05-06 21:15:46.759,Version,jira,,,MULE-9674,mule,16561,4.0.0-M2
mariano.gonzalez,2016-05-06 21:15:46.759,Version,jira,16662,1.0.0,MULE-9674,mule,,
mariano.gonzalez,2016-05-06 21:15:46.759,User impact,custom,,,MULE-9674,mule,10012,High
mariano.gonzalez,2016-05-06 21:15:46.759,Component,jira,,,MULE-9674,mule,14342,Extensions API
mariano.gonzalez,2016-05-06 21:15:46.759,Component,jira,15678,API,MULE-9674,mule,,
mariano.gonzalez,2016-05-06 21:15:56.246,priority,jira,6,To be reviewed,MULE-9674,mule,3,Major
mariano.gonzalez,2016-05-06 21:16:01.255,Fix Version,jira,,,MULE-9674,mule,16561,4.0.0-M2
mariano.gonzalez,2016-05-06 21:19:38.657,summary,jira,,Loading Interface Metadata type with ClassTypeLoader adds inexistent fields to the MetadataType. ,MULE-9674,mule,,Loading Interface Metadata type with ExtensionsFieldHandler adds inexistent fields to the MetadataType. 
mariano.gonzalez,2016-05-06 21:28:16.496,Sprint,custom,,,MULE-9674,mule,1252,SDK Olympus 1
mariano.gonzalez,2016-05-06 21:28:16.496,Story Points,custom,,,MULE-9674,mule,,1
mariano.gonzalez,2016-05-06 21:28:28.719,status,jira,1,To Do,MULE-9674,mule,6,Closed
mariano.gonzalez,2016-05-06 21:28:28.719,resolution,jira,,,MULE-9674,mule,1,Fixed
gsfernandes,2016-05-06 18:01:31.475,Epic Link,custom,,,MULE-9673,mule,41485,EE-3304
gsfernandes,2016-05-06 18:01:57.422,Fix Version,jira,,,MULE-9673,mule,16353,3.8.0
gsfernandes,2016-05-06 18:01:57.422,Fix Version,jira,16167,4.0.0-development,MULE-9673,mule,,
gsfernandes,2016-05-06 18:02:50.951,description,jira,,"Upgrade Saxon due to several issues have been solved since 9.7.0-3-HE version. 
* [List of issues solved in Saxon 9.7.0-3-HE|https://sourceforge.net/projects/saxon/files/Saxon-HE/9.7/] 
* in addition to the ones fixed since 9.6.0-1-HE that is the current version used in Mule: [List of issues solved in Saxon 9.6-HE|https://sourceforge.net/projects/saxon/files/Saxon-HE/9.6/]",MULE-9673,mule,,"Upgrade Saxon due to several issues have been solved since 9.6.0-7-HE version. 
* 9.6.0-1-HE is the current version used in Mule: [List of issues solved in Saxon 9.6-HE|https://sourceforge.net/projects/saxon/files/Saxon-HE/9.6/]"
gsfernandes,2016-05-06 18:04:04.087,Link,jira,,,MULE-9673,mule,MULE-9444,This issue relates to MULE-9444
gsfernandes,2016-05-06 18:04:56.348,status,jira,1,To Do,MULE-9673,mule,3,In Progress
gsfernandes,2016-05-06 18:05:08.081,Story Points,custom,,3,MULE-9673,mule,,0
gsfernandes,2016-05-06 18:06:17.292,Version,jira,,,MULE-9673,mule,16353,3.8.0
gsfernandes,2016-05-06 18:06:34.209,status,jira,3,In Progress,MULE-9673,mule,5,Resolved
gsfernandes,2016-05-06 18:06:34.209,resolution,jira,,,MULE-9673,mule,6,Completed
gsfernandes,2016-05-06 18:07:34.073,Link,jira,,,MULE-9673,mule,SE-2582,This issue relates to SE-2582
gsfernandes,2016-05-06 18:09:03.329,Link,jira,,,MULE-9673,mule,SOAPKIT-29,This issue relates to SOAPKIT-29
gsfernandes,2016-05-06 18:10:18.130,Link,jira,,,MULE-9673,mule,MULE-9452,This issue relates to MULE-9452
mariano.gonzalez,2016-05-05 17:57:42.522,priority,jira,6,To be reviewed,MULE-9667,mule,3,Major
mariano.gonzalez,2016-05-05 17:57:58.337,Link,jira,,,MULE-9667,mule,MULE-9668,This issue is blocked by MULE-9668
mariano.gonzalez,2016-05-05 17:58:10.280,Rank,custom,,,MULE-9667,mule,,Ranked higher
mariano.gonzalez,2016-05-06 19:10:18.265,Sprint,custom,,,MULE-9667,mule,1252,SDK Olympus 1
mariano.gonzalez,2016-05-06 19:10:18.662,Rank,custom,,,MULE-9667,mule,,Ranked lower
mariano.gonzalez,2016-05-06 19:10:37.872,Story Points,custom,,,MULE-9667,mule,,3
mariano.gonzalez,2016-05-06 19:40:40.545,status,jira,1,To Do,MULE-9667,mule,6,Closed
mariano.gonzalez,2016-05-06 19:40:40.545,Fix Version,jira,,,MULE-9667,mule,16561,4.0.0-M2
mariano.gonzalez,2016-05-06 19:40:40.545,resolution,jira,,,MULE-9667,mule,1,Fixed
mariano.gonzalez,2016-05-04 21:38:12.398,Story Points,custom,,,MULE-9662,mule,,3
mariano.gonzalez,2016-05-04 21:38:17.633,priority,jira,6,To be reviewed,MULE-9662,mule,3,Major
mariano.gonzalez,2016-05-04 21:38:25.677,Rank,custom,,,MULE-9662,mule,,Ranked higher
mariano.gonzalez,2016-05-04 21:29:13.111,priority,jira,6,To be reviewed,MULE-9661,mule,3,Major
mariano.gonzalez,2016-05-04 21:29:15.043,assignee,jira,,,MULE-9661,mule,mariano.gonzalez,Mariano Gonzalez
mariano.gonzalez,2016-05-04 21:29:36.261,Sprint,custom,,,MULE-9661,mule,1252,SDK Olympus 1
mariano.gonzalez,2016-05-04 21:29:36.261,Fix Version,jira,,,MULE-9661,mule,16561,4.0.0-M2
mariano.gonzalez,2016-05-04 21:29:36.261,Story Points,custom,,,MULE-9661,mule,,1
mariano.gonzalez,2016-05-04 21:29:36.261,Version,jira,,,MULE-9661,mule,16561,4.0.0-M2
mariano.gonzalez,2016-05-05 17:53:59.633,Link,jira,,,MULE-9661,mule,MULE-9668,This issue is blocked by MULE-9668
mariano.gonzalez,2016-05-05 17:54:52.482,Sprint,custom,1252,SDK Olympus 1,MULE-9661,mule,,
