assignee.name,components,created,creator.name,description,fixVersions,issuetype.name,issuetype.subtask,priority.name,reporter.name,resolution.description,resolution.name,resolutiondate,status.id,status.name,status.statusCategory.name,summary,updated,versions,watches.watchCount,key,storypoints,project,sprint
mariano.gonzalez,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/14342', u'id': u'14342', u'name': u'Extensions API', u'description': u'Mule API to extend the functionality. '}]",2016-05-06T12:42:29.000-0500,juan.desimoni,"When using ClassTypeLoader to load an Interface Type with getter methods defined the resulting *MetadataType* contains inexistent fields


For example having an Interface Animal like this one:
{code:java}
public interface Animal 
{
    String getSpeciesName();
}
{code}

The resulting MetadataType will contain a field named ""speciesName"" ","[{u'id': u'16561', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2'}]",Bug,False,Major,juan.desimoni,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-06T16:28:28.000-0500,6,Closed,Complete,Loading Interface Metadata type with ExtensionsFieldHandler adds inexistent fields to the MetadataType. ,2016-05-06T16:28:28.000-0500,"[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2', u'id': u'16561'}]",1,MULE-9674,1.0,mule,startDate=2016-04-27T11:27:32.496-05:00
gsfernandes,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/10250', u'id': u'10250', u'name': u'Modules: XML, XSLT, XPath, SXC'}]",2016-05-06T13:01:31.000-0500,gsfernandes,"Upgrade Saxon due to several issues have been solved since 9.6.0-7-HE version. 
* 9.6.0-1-HE is the current version used in Mule: [List of issues solved in Saxon 9.6-HE|https://sourceforge.net/projects/saxon/files/Saxon-HE/9.6/]","[{u'id': u'16353', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16353', u'archived': False, u'name': u'3.8.0'}]",Task,False,Minor,gsfernandes,Task Completed,Completed,2016-05-06T13:06:34.000-0500,5,Resolved,Complete,Upgrade Saxon to 9.6.0.7-HE,2016-05-06T13:10:18.000-0500,"[{u'id': u'16353', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16353', u'archived': False, u'name': u'3.8.0'}]",2,MULE-9673,0.0,mule,startDate=2016-03-03T11:00:57.861-06:00
mariano.gonzalez,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/14342', u'description': u'Mule API to extend the functionality. ', u'id': u'14342', u'name': u'Extensions API'}]",2016-05-05T12:47:27.000-0500,mariano.gonzalez,"Extensions sources use a CompletionHandler to get a callback when the owning flow finishes processing the message.

However, if the onComplete() method fails, an ExceptionCallback is needed so that the CompletionHandler notifies that it couldn't handle the response.

Notice that this requires having the MuleEvent moved over to mule-api","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2', u'id': u'16561'}]",Bug,False,Major,mariano.gonzalez,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-06T14:40:40.000-0500,6,Closed,Complete,Extension sources should have a CompletionHandler which receives an ExceptionCallback,2016-05-06T14:40:40.000-0500,"[{u'id': u'16561', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2'}]",1,MULE-9667,3.0,mule,startDate=2016-04-27T11:27:32.496-05:00
alejandro.garcia,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/14342', u'description': u'Mule API to extend the functionality. ', u'id': u'14342', u'name': u'Extensions API'}]",2016-05-04T16:38:00.000-0500,mariano.gonzalez,"If a message source has a Parameter for which a subtype is defined, the XSD attribute is generated but the XSD element is not","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'id': u'16561', u'name': u'4.0.0-M2'}]",Bug,False,Major,mariano.gonzalez,,,,1,To Do,New,Child element not generated for SubType in Source,2016-05-04T16:38:25.000-0500,"[{u'id': u'16561', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2'}]",1,MULE-9662,3.0,mule,startDate=<null>
mariano.gonzalez,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/15568', u'name': u'sdk', u'id': u'15568'}]",2016-05-04T16:10:36.000-0500,afelisatti,"Right now Sources are forced to create a CompletionHandler that takes a MuleMessage. However, the new message is quite limiting: you can basically only ask for the payload and the data type (attributes too but at that point it won't make too much sense). Things like the encoding cannot be determined. I think it would be best to use a MuleEvent.","[{u'id': u'16561', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2'}]",Improvement,False,Major,afelisatti,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-05T15:06:04.000-0500,6,Closed,Complete,Make CompletionHandler receive a MuleEvent instead of a MuleMessage,2016-05-05T15:06:04.000-0500,"[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2', u'id': u'16561'}]",1,MULE-9661,2.0,mule,startDate=2016-04-27T11:27:32.496-05:00
gsfernandes,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/10168', u'name': u'Core: (other)', u'id': u'10168'}]",2016-05-04T14:28:46.000-0500,gsfernandes,"h5. Problem
According to https://tools.ietf.org/html/rfc6749#section-1.5 refresh_token is optional:
{quote}
   Refresh tokens are credentials used to obtain access tokens.  Refresh
   tokens are issued to the client by the authorization server and are
   used to obtain a new access token when the current access token
   becomes invalid or expires, or to obtain additional access tokens
   with identical or narrower scope (access tokens may have a shorter
   lifetime and fewer permissions than authorized by the resource
   owner).  Issuing a refresh token is optional at the discretion of the
   authorization server.  If the authorization server issues a refresh
   token, it is included when issuing an access token (i.e., step (D) in
   Figure 1).
{quote}
More detail about this in:
https://tools.ietf.org/html/rfc6749#section-5.1
{quote}
Successful Response
   The authorization server issues an access token and optional refresh
   token, and constructs the response by adding the following parameters
   to the entity-body of the HTTP response with a 200 (OK) status code:

   access_token
         REQUIRED.  The access token issued by the authorization server.

   token_type
         REQUIRED.  The type of the token issued as described in
         Section 7.1.  Value is case insensitive.

   expires_in
         RECOMMENDED.  The lifetime in seconds of the access token.  For
         example, the value ""3600"" denotes that the access token will
         expire in one hour from the time the response was generated.
         If omitted, the authorization server SHOULD provide the
         expiration time via other means or document the default value.

   refresh_token
         OPTIONAL.  The refresh token, which can be used to obtain new
         access tokens using the same authorization grant as described
         in Section 6.

   scope
         OPTIONAL, if identical to the scope requested by the client;
         otherwise, REQUIRED.  The scope of the access token as
         described by Section 3.3.

{quote}
Current implementation of OAuth2 authorization-code-grant-type is expecting always to get refresh_token so if the OAuth2 server during a refresh token operation sends only the access_token Mule is failing to get the refresh_token with the following exception:
{code}
{""access_token"":""xCaZDjEo2Um9T8g3OESpi-rzRYOn1o7x865f425JQVw"",""token_type"":""bearer"",""expires_in"":3599}
ERROR 2016-04-05 10:48:16,000 [[oauth].HTTP_Listener_Configuration.worker.02] org.mule.module.oauth2.internal.TokenResponseProcessor: Could not extract refresh token from token URL. Expressions used to retrieve refresh token was #[regex('.*""refresh_token""[ ]*:[ ]*""([^\""]*)"".*')]
ERROR 2016-04-05 10:48:16,038 [[oauth].HTTP_Listener_Configuration.worker.02] org.mule.exception.DefaultMessagingExceptionStrategy: 
********************************************************************************
Message               : Access token or refresh token were not found from the refresh token oauth call (org.mule.api.MuleRuntimeException). Message payload is of type: BufferInputStream
Code                  : MULE_ERROR--2
--------------------------------------------------------------------------------
Exception stack is:
1. null (org.mule.module.oauth2.internal.TokenNotFoundException)
  org.mule.module.oauth2.internal.authorizationcode.AutoAuthorizationCodeTokenRequestHandler:230 (http://www.mulesoft.org/docs/site/current3/apidocs/org/mule/module/oauth2/internal/TokenNotFoundException.html)
2. Access token or refresh token were not found from the refresh token oauth call (org.mule.api.MuleRuntimeException)
  org.mule.module.oauth2.internal.authorizationcode.AutoAuthorizationCodeTokenRequestHandler:290 (http://www.mulesoft.org/docs/site/current3/apidocs/org/mule/api/MuleRuntimeException.html)
3. Access token or refresh token were not found from the refresh token oauth call (org.mule.api.MuleRuntimeException). Message payload is of type: BufferInputStream (org.mule.api.MessagingException)
  org.mule.execution.ExceptionToMessagingExceptionExecutionInterceptor:32 (http://www.mulesoft.org/docs/site/current3/apidocs/org/mule/api/MessagingException.html)
--------------------------------------------------------------------------------
Root Exception stack trace:
org.mule.module.oauth2.internal.TokenNotFoundException
	at org.mule.module.oauth2.internal.authorizationcode.AutoAuthorizationCodeTokenRequestHandler.processTokenUrlResponse(AutoAuthorizationCodeTokenRequestHandler.java:230)
	at org.mule.module.oauth2.internal.authorizationcode.AutoAuthorizationCodeTokenRequestHandler.doRefreshToken(AutoAuthorizationCodeTokenRequestHandler.java:285)
	at org.mule.module.oauth2.internal.authorizationcode.AbstractAuthorizationCodeTokenRequestHandler.refreshToken(AbstractAuthorizationCodeTokenRequestHandler.java:56)
    + 3 more (set debug level logging or '-Dmule.verbose.exceptions=true' for everything)
********************************************************************************

{code}

h5. Proposed Solution
As described in the spec if there is a refresh_token issued by the OAuth2 server it should be used for getting new access_tokens if not it should fail when the current access_token is no longer valid (after a 401/403 status code and before retrying the request) and a exception of type should be thrown. For instance:
{code}
""Cannot do a refresh token to get a new access token for the default user due to OAuth server did not issued a refresh_token. You would have to re-authenticate the user before trying to execute an operation to the API.""
org.mule.module.oauth2.api.RequestAuthenticationException
{code} ","[{u'archived': False, u'description': u'Bug fix release for 3.7.x branch', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16295', u'released': False, u'id': u'16295', u'name': u'3.7.4 (EE Only)'}, {u'id': u'16376', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16376', u'archived': False, u'name': u'3.6.5 (EE Only)'}, {u'id': u'16707', u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16707', u'archived': False, u'name': u'3.8.1 (EE Only)'}]",Bug,False,Major,gsfernandes,,,,3,In Progress,In Progress,OAuth2 authorization-code-grant-type is always expecting a refresh_token when it is optional according to the spec,2016-05-05T17:13:50.000-0500,"[{u'archived': False, u'name': u'3.7.3 (EE Only)', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16166', u'releaseDate': u'2015-12-01', u'released': True, u'id': u'16166', u'description': u'Bug fix release for 3.7.x branch'}]",1,MULE-9660,0.0,mule,startDate=2016-04-28T11:51:14.884-05:00
mariano.gonzalez,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/15568', u'name': u'sdk', u'id': u'15568'}]",2016-05-03T13:48:48.000-0500,afelisatti,"Right now the MessageHandler's handle method is defined as:
{code:java}
    /**
     * Handles the {@code message} and notifies the result using the given {@code completionHandler}
     *
     * @param message           the {@link MuleMessage} to be handled
     * @param completionHandler the {@link CompletionHandler} on which the result is to be notified
     */
    //TODO: MULE-8946: this should actually receive a messaging exception
    void handle(MuleMessage<Payload, Attributes> message,
                                      CompletionHandler<MuleMessage<Payload, Attributes>, Exception> completionHandler);
{code}
which basically means a Source should produce and expect the same ""kind"" of MuleMessage since the payload and attributes type must be the same for the message and completionHandler. This is wrong since nothing can be assumed about the flow's result.
","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2', u'id': u'16561'}]",Bug,False,Major,afelisatti,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-03T14:34:27.000-0500,6,Closed,Complete,MessageHandler should not restrict CompletionHandler's result type,2016-05-03T14:34:27.000-0500,"[{u'archived': False, u'description': u'Development version for Mule 4.0.0', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16167', u'released': False, u'id': u'16167', u'name': u'4.0.0-development'}]",1,MULE-9645,1.0,mule,startDate=2016-04-27T11:27:32.496-05:00
Pablo.Musumeci,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/15568', u'name': u'sdk', u'id': u'15568'}]",2016-05-02T15:22:18.000-0500,afelisatti,"I have a POJO containing a Map, which is used in an operation:
{code:java}
@Alias(""request-builder"")
public class HttpRequesterRequestBuilder
{
    @Parameter
    @Optional
    private Map<String, String> queryParams;

    public Map<String, String> getQueryParams()
    {
        return queryParams;
    }
}
{code}
But the schema generated only consideres adding each element explicitly, not via an expression that resolves to a Map:
{code:xml}
  <xs:complexType name=""org.mule.extension.http.api.request.builder.HttpRequesterRequestBuilder"">
    <xs:complexContent>
      <xs:extension xmlns:mule=""http://www.mulesoft.org/schema/mule/core"" base=""mule:abstractExtensionType"">
        <xs:sequence>
          <xs:element minOccurs=""0"" maxOccurs=""1"" name=""query-params"">
            <xs:complexType>
              <xs:sequence>
                <xs:element minOccurs=""0"" maxOccurs=""unbounded"" name=""query-param"">
                  <xs:complexType>
                    <xs:attribute type=""mule:expressionString"" use=""required"" name=""key""></xs:attribute>
                    <xs:attribute type=""mule:expressionString"" use=""required"" name=""value""></xs:attribute>
                  </xs:complexType>
                </xs:element>
              </xs:sequence>
            </xs:complexType>
          </xs:element>
        </xs:sequence>
      </xs:extension>
    </xs:complexContent>
  </xs:complexType>
{code}","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'id': u'16561', u'name': u'4.0.0-M2'}]",Bug,False,Critical,afelisatti,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-05T12:37:27.000-0500,6,Closed,Complete,Expression for Map in POJO not generated,2016-05-05T12:37:27.000-0500,"[{u'archived': False, u'description': u'Development version for Mule 4.0.0', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16167', u'released': False, u'id': u'16167', u'name': u'4.0.0-development'}]",1,MULE-9643,5.0,mule,startDate=2016-04-27T11:27:32.496-05:00
Pablo.Musumeci,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/15568', u'name': u'sdk', u'id': u'15568'}]",2016-05-02T15:14:04.000-0500,afelisatti,"I have a POJO which I'm using in an operation and it contains a Map marked as a Parameter:
{code:java}
@Alias(""request-builder"")
public class HttpRequesterRequestBuilder
{
    @Parameter
    @Optional
    private Map<String, String> queryParams;

    public Map<String, String> getQueryParams()
    {
        return queryParams;
    }
}
{code}
However, using the following the operation receives a requestBuilder that has a null map causing an NPE:
{code:xml}
<httpn:request path=""/"" config-ref=""reqConfig"" key=""InputStream"">
            <httpn:request-builder>
                <httpn:query-params>
                    <httpn:query-param key=""query"" value=""param"" />
                </httpn:query-params>
            </httpn:request-builder>
</httpn:request>
{code}","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'name': u'4.0.0-M2', u'id': u'16561'}]",Bug,False,Critical,afelisatti,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-05T14:30:58.000-0500,6,Closed,Complete,Map in POJO not populated,2016-05-05T14:30:58.000-0500,"[{u'archived': False, u'description': u'Development version for Mule 4.0.0', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16167', u'released': False, u'id': u'16167', u'name': u'4.0.0-development'}]",1,MULE-9642,3.0,mule,startDate=2016-04-27T11:27:32.496-05:00
mariano.gonzalez,"[{u'self': u'https://www.mulesoft.org/jira/rest/api/2/component/15568', u'name': u'sdk', u'id': u'15568'}]",2016-04-29T12:47:53.000-0500,afelisatti,"I have a parameter declared as 
{code:java}
    @Parameter
    @Optional(defaultValue = ""AUTO"")
    private Function<MuleEvent, HttpStreamingType> requestStreamingMode;
{code}
where HttpStreamingType is an Enum (AUTO, ALWAYS, NEVER).
When I try to apply the function, however, I get:
{code}
Caused by: org.mule.runtime.core.api.transformer.TransformerException: Could not find a transformer to transform ""SimpleDataType{type=java.lang.String, mimeType='*/*', encoding='null'}"" to ""SimpleDataType{type=org.mule.extension.http.api.HttpStreamingType, mimeType='*/*', encoding='null'}"".
	at org.mule.runtime.core.registry.MuleRegistryHelper.lookupTransformer(MuleRegistryHelper.java:166)
{code}","[{u'released': False, u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16561', u'archived': False, u'id': u'16561', u'name': u'4.0.0-M2'}]",Bug,False,Critical,afelisatti,A fix for this issue is checked into the tree and tested.,Fixed,2016-05-01T10:34:41.000-0500,6,Closed,Complete,Application of function requiring Enum output fails,2016-05-01T10:34:41.000-0500,"[{u'archived': False, u'description': u'Development version for Mule 4.0.0', u'self': u'https://www.mulesoft.org/jira/rest/api/2/version/16167', u'released': False, u'id': u'16167', u'name': u'4.0.0-development'}]",1,MULE-9639,3.0,mule,startDate=2016-04-27T11:27:32.496-05:00
