assignee.name,created,creator.name,description,issuetype.name,priority.name,reporter.name,resolutiondate,status.id,status.name,status.statusCategory.name,summary,updated,key,storypoints,project,sprint
,2020-04-01T03:41:51.000+0000,tallthom,"When choosing a name using the ""Forced name for a link"" setting in the URL field in a Moodle Database activity, the name appears in both the list view and the single view. However, this name is not carried over into the Mobile view. Instead, the mobile view expands the URL.

See the attached images:

*note: the CSS I have for the Moodle Database prevents wrapping and overflow, so only part of the URL is showing in this screenshot. However, the URL should not display. The word ""[link]"" was used for that field.",Bug,Minor,tallthom,,1,Open,To Do,"Database URL Field ""Forced name for the link"" doesn't show in Mobile view",2020-04-01T03:43:28.000+0000,MOBILE-3390,,MOBILE,
dpalou,2020-03-31T10:57:14.000+0000,dpalou,A lot of users don't know the URL of their site. We should improve error messages and help in login page.,Improvement,Minor,dpalou,2020-04-03T12:35:23.000+0000,6,Closed,Done,Improve error messages and help in login page,2020-04-03T12:36:26.000+0000,MOBILE-3389,,MOBILE,"['com.atlassian.greenhopper.service.sprint.Sprint@245be8a[id=289,rapidViewId=43,state=ACTIVE,name=Moodle App 3.8.2,startDate=2020-03-30T11:10:08.305Z,endDate=2020-04-03T16:56:00.000Z,completeDate=<null>,activatedDate=2020-03-30T11:10:08.305Z,sequence=289,goal=]']"
jleyva,2020-03-31T09:23:26.000+0000,jleyva,Tasks to be done every time we are going to release a new version: https://docs.moodle.org/dev/Moodle_Mobile_release_process,Improvement,Minor,jleyva,2020-04-03T12:32:55.000+0000,6,Closed,Done,Release Moodle app version 3.8.2,2020-04-03T12:32:55.000+0000,MOBILE-3388,,MOBILE,"['com.atlassian.greenhopper.service.sprint.Sprint@245be8a[id=289,rapidViewId=43,state=ACTIVE,name=Moodle App 3.8.2,startDate=2020-03-30T11:10:08.305Z,endDate=2020-04-03T16:56:00.000Z,completeDate=<null>,activatedDate=2020-03-30T11:10:08.305Z,sequence=289,goal=]']"
dpalou,2020-03-30T11:44:14.000+0000,dpalou,We should prevent duplicate ajax calls like we do with head requests and so.,Improvement,Minor,dpalou,2020-04-03T12:35:22.000+0000,6,Closed,Done,Prevent duplicate AJAX calls,2020-04-03T12:36:07.000+0000,MOBILE-3387,,MOBILE,"['com.atlassian.greenhopper.service.sprint.Sprint@245be8a[id=289,rapidViewId=43,state=ACTIVE,name=Moodle App 3.8.2,startDate=2020-03-30T11:10:08.305Z,endDate=2020-04-03T16:56:00.000Z,completeDate=<null>,activatedDate=2020-03-30T11:10:08.305Z,sequence=289,goal=]']"
dpalou,2020-03-30T11:19:53.000+0000,dpalou,"In 3.8.1, the editor causes site plugins to show an error.",Bug,Minor,dpalou,2020-03-31T11:27:50.000+0000,6,Closed,Done,Rich text editor is broken for site plugins,2020-03-31T11:27:50.000+0000,MOBILE-3386,,MOBILE,"['com.atlassian.greenhopper.service.sprint.Sprint@245be8a[id=289,rapidViewId=43,state=ACTIVE,name=Moodle App 3.8.2,startDate=2020-03-30T11:10:08.305Z,endDate=2020-04-03T16:56:00.000Z,completeDate=<null>,activatedDate=2020-03-30T11:10:08.305Z,sequence=289,goal=]']"
,2020-03-26T10:45:45.000+0000,isabelrenedo,Study the option to be able to delete using the app itself a file downloaded by the app ,Improvement,Minor,isabelrenedo,,1,Open,To Do,Delete a file downloaded by the app using the app,2020-03-26T16:59:35.000+0000,MOBILE-3385,,MOBILE,
jleyva,2020-03-26T09:29:46.000+0000,dpalou,"When the app accesses a site, it checks if the local_mobile plugin is installed by performing a request to local/mobile/check.php. If this request returns null, the app shows this error and doesn't let the user authenticate:

Cannot read property 'errorcode' of null",Bug,Minor,dpalou,,1,Open,To Do,Cannot read property 'errorcode' of null if local/mobile/check.php returns null,2020-03-26T09:29:57.000+0000,MOBILE-3384,,MOBILE,
,2020-03-25T14:19:04.000+0000,noeldemartin,"When I open the datetime picker, for example creating a new calendar event, I can only see the entering and leaving transitions, but it's hidden and cannot be used. Look at the attached video for an example.

App & device details:
- Nexus 6 with Android 7.1.1
- Moodle App 3.8.0 & 3.8.1",Bug,Minor,noeldemartin,,1,Open,To Do,Datetime picker is hidden after opening transition,2020-03-25T14:25:42.000+0000,MOBILE-3383,,MOBILE,
jleyva,2020-03-23T17:20:06.000+0000,isabelrenedo,Follow up of https://tracker.moodle.org/browse/MOBILE-3330,Improvement,Minor,isabelrenedo,,1,Open,To Do,Messaging: last message display is cut off Tablet / Desktop,2020-03-24T11:15:17.000+0000,MOBILE-3382,,MOBILE,
,2020-03-18T15:09:44.000+0000,dpalou,While developing MDL-68098 I noticed that some fields that are formatted by WebServices don't have core-format-text in the app (e.g. competencies titles). We should review that all fields that are formatted using format_string have core-format-text applied in the app.,Improvement,Minor,dpalou,,1,Open,To Do,Review texts that need to have core-format-text,2020-03-18T15:09:57.000+0000,MOBILE-3381,,MOBILE,
,2020-03-18T13:47:44.000+0000,dpalou,"If a split view has no items or is being loaded, we display this message:

{{This page will appear blank if the left panel is empty or is loading.}}

And we also display an arrow pointing to the left.

With RTL languages, the pane is at the right so the message and the arrow are wrong.",Improvement,Minor,dpalou,,1,Open,To Do,"""core.emptysplit"" message doesn't work for RTL languages",2020-03-18T13:47:55.000+0000,MOBILE-3380,,MOBILE,
,2020-03-18T12:09:32.000+0000,dpalou,"In course overview, if you set a course to hidden (or viceversa) the course stays where it was, you need to do a PTR to update the list. In web the list is updated automatically.

This can probably happen with other things like star.",Improvement,Minor,dpalou,,1,Open,To Do,"Changing the ""hidden"" status of a course doesn't update the list automatically",2020-03-18T12:09:43.000+0000,MOBILE-3379,,MOBILE,
,2020-03-05T08:56:52.000+0000,girl0000,"At the moment Quicklinks, Calendar etc. are at the bottom of the page on mobile devices with classic theme.

It would be great to have a hamburger menu on the top right of the page (similar to the boost theme).",Improvement,Minor,girl0000,,1,Open,To Do,Classic Theme: Mobile Menu,2020-03-24T07:47:34.000+0000,MOBILE-3378,,MOBILE,
pferre22,2020-03-10T09:50:22.000+0000,isabelrenedo,RTE buttons don't work when all text is selected in Android.,Improvement,Minor,isabelrenedo,,1,Open,To Do,Android: RTE buttons don't work when all text is selected,2020-03-10T09:50:58.000+0000,MOBILE-3377,,MOBILE,
